Order-ref,Channel,Order_Status,Product,Order_Type,New_Delivery_Type,Priority_Order,OCD,ODD,CHD,Parked_Status,Overall_Parked_Days,SRF_REF,Order_Manager,Circuit_Class_Type,Project_Order,On_Time,CT_Ex_Delayed_Days,LT_Tgt,SLT_Status,SLT_Exclusion,Per_Day_€,RFT_Exclusion,CHD_Period,CHD_Week,CHD_Month,CHD_FQ,CHD_FY,Order_In Backlog,Age_Status,Aged_Status,OCD_Period,OCD_Week,OCD_FQ,OCD_FY,ODD_Period,ODD_Week,ODD_FQ,ODD_FY,Group,Group_Manager,On_Time_Tgt,Cycle_Time_Tgt,Parked_Tgt,Backlog_Tgt
ref_875933079,Business,In Progress, Internet Connect,New,International,P3,02/04/2019,14/10/2019,,,55.0149,,RYANC9,International,FALSE, ,,100,,,24.8219,FALSE,,,,,,BAU ,BAU,BAU,P 01,05/04/2019,1,2019-2020,P 07,18/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_875934261,Business,In Progress, Etherflow/IP Connect Global,New,Non-Standard,P3,02/04/2019,27/09/2019,,,11.9829,,AHMEDSS,Domestic,FALSE, ,,60,,,76.7859,FALSE,,,,,,Backlog,Backlog,BAU,P 01,05/04/2019,1,2019-2020,P 06,27/09/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_875934711,Carrier,Parked, Etherflow,New,Standard Domestic,P4,04/04/2019,03/05/2019,,Y,167,,DUFFYM,Domestic,FALSE, ,,25,,,25.326,FALSE,,,,,,Backlog,BAU Parked,Parked,P 01,05/04/2019,1,2019-2020,P 02,03/05/2019,1,2019-2020,,,0.95,0.94,0.09,0.03
ref_875950417,Business,In Progress, MPLS,New,International,P3,02/04/2019,31/10/2019,,,7.9839,,GIFFNEK,International,TRUE, ,,100,,,184.9973,FALSE,,,,,,BAU ,BAU,BAU,P 01,05/04/2019,1,2019-2020,P 07,01/11/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_875950773,Business,In Progress, MPLS,New,International,P3,02/04/2019,31/10/2019,,,19.7816,,GIFFNEK,International,TRUE, ,,100,,,184.9973,FALSE,,,,,,BAU,BAU,BAU,P 01,05/04/2019,1,2019-2020,P 07,01/11/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_875950993,Business,In Progress, IP Connect GLOBAL,New,International,P3,02/04/2019,30/09/2019,,,,,DJEMAIM,International,TRUE, ,,100,N/A,,61.1563,TRUE,,,,,,BAU ,BAU,BAU,P 01,05/04/2019,1,2019-2020,P 06,04/10/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_876001164,Business,In Progress, Internet Connect,New,International,P1,03/04/2019,26/07/2019,,,,,DJEMAIM,International,TRUE, ,,100,N/A,,25.3414,TRUE,,,,,,Backlog,Backlog,BAU,P 01,05/04/2019,1,2019-2020,P 04,26/07/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_876001359,Business,In Progress, Internet Connect,New,International,P3,03/04/2019,18/10/2019,,,,,DJEMAIM,International,TRUE, ,,100,N/A,,25.3414,TRUE,,,,,,BAU ,BAU,BAU,P 01,05/04/2019,1,2019-2020,P 07,18/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_876105332,Business,In Progress, Internet Connect,New,International,P1,05/04/2019,29/11/2019,,,,,DJEMAIM,International,TRUE, ,,100,N/A,,26.0564,TRUE,,,,,,BAU ,BAU,BAU,P 01,05/04/2019,1,2019-2020,P 08,29/11/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_876105616,Business,In Progress, IP Connect GLOBAL,New,International,P3,05/04/2019,28/10/2019,,,,,DJEMAIM,International,TRUE, ,,100,N/A,,33.1496,TRUE,,,,,,BAU ,BAU,BAU,P 01,05/04/2019,1,2019-2020,P 07,01/11/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_876119172,Business,In Progress, Etherflow,New,International,P1a,05/04/2019,31/10/2019,,,66.7616,,GIFFNEK,International,TRUE, ,,100,,,192.9863,FALSE,,,,,,BAU,BAU,BAU,P 01,05/04/2019,1,2019-2020,P 07,01/11/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_876138995,Business,In Progress, Internet Connect,New,International,P1,10/04/2019,20/09/2019,,,,,DJEMAIM,International,TRUE, ,,100,N/A,,18.6263,TRUE,,,,,,Backlog,Backlog,BAU,P 01,12/04/2019,1,2019-2020,P 06,20/09/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_876178427,Internal,In Progress, Private Line National,New,Standard Domestic,P3,08/04/2019,04/11/2019,,,,DCN Core,MCDONNM6,Internal,FALSE, ,,25,,,0,FALSE,,,,,,BAU ,BAU,BAU,P 01,12/04/2019,1,2019-2020,P 08,08/11/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_876195454,Business,In Progress, MPLS,New,International,P3,08/04/2019,30/09/2019,,,39.1709,,BRADYA,International,TRUE, ,,100,,,11.0137,FALSE,,,,,,BAU,BAU,BAU,P 01,12/04/2019,1,2019-2020,P 06,04/10/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_876223111,Carrier,Parked, Etherflow,New,3rd Party Standard,P4,09/04/2019,02/07/2019,,Y,97,,DUFFYM,Domestic,FALSE, ,,50,,,15.1425,FALSE,,,,,,Backlog,BAU Parked,Parked,P 01,12/04/2019,1,2019-2020,P 04,05/07/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_876223401,Carrier,In Progress, Etherflow/MPLS,New,3rd Party Standard,P3,10/04/2019,01/11/2019,,,42.6026,,LYONSR3,Domestic,FALSE, ,,50,,,39.3562,FALSE,,,,,,BAU,BAU,BAU,P 01,12/04/2019,1,2019-2020,P 08,01/11/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_876240101,Business,Parked, Carrier Services Private Line National,New,Non-Standard,P4,09/04/2019,08/07/2019,,Y,51,,HEJLOVS,Domestic,FALSE, ,,60,,,34.2466,FALSE,,,,,,Backlog,BAU Parked,Parked,P 01,12/04/2019,1,2019-2020,P 04,12/07/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_876275410,Business,In Progress, MPLS,New,International,P3,11/04/2019,15/10/2019,,,0,,BRADYA,International,TRUE, ,,100,,,18.3123,FALSE,,,,,,BAU ,BAU,BAU,P 01,12/04/2019,1,2019-2020,P 07,18/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_876345996,Internal,In Progress, Private Line National,New,Standard Domestic,P3,11/04/2019,30/11/2019,,,,DCN Core,MCDONNM6,Internal,FALSE, ,,25,,,0,FALSE,,,,,,BAU ,BAU,BAU,P 01,12/04/2019,1,2019-2020,P 08,06/12/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_876346491,Carrier,In Progress, Carrier Services Private Line National,New,3rd Party Standard,P3,12/04/2019,10/10/2019,,,15.0107,,DUFFYM,Domestic,FALSE, ,,50,,,61.6438,FALSE,,,,,,BAU,BAU,BAU,P 01,12/04/2019,1,2019-2020,P 07,11/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_876346901,Carrier,In Progress, Etherflow/IP,New,3rd Party Standard,P1,12/04/2019,28/08/2019,,,0,,SMARTTEM,Domestic,FALSE, ,,50,,,33.411,FALSE,,,,,,Backlog,Backlog,BAU,P 01,12/04/2019,1,2019-2020,P 05,30/08/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_876378891,Carrier,In Progress, Carrier Services Private Line National,New,3rd Party Standard,P3,12/04/2019,20/12/2019,,,122.3837,,DUFFYM,Domestic,FALSE, ,,50,,,61.6438,FALSE,,,,,,BAU,BAU,BAU,P 01,12/04/2019,1,2019-2020,P 09,20/12/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_876393211,Carrier,In Progress, Carrier Services Private Line National,New,3rd Party Standard,P3,12/04/2019,20/12/2019,,,122.3912,,DUFFYM,Domestic,FALSE, ,,50,,,61.6438,FALSE,,,,,,BAU,BAU,BAU,P 01,12/04/2019,1,2019-2020,P 09,20/12/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_876400131,Internal,In Progress, Etherflow,New,3rd Party Standard,P3,12/04/2019,23/10/2019,,,31.9686,,AHMEDSS,Domestic,TRUE, ,,50,,,0,FALSE,,,,,,BAU ,BAU,BAU,P 01,12/04/2019,1,2019-2020,P 07,25/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_876539554,Business,In Progress, IP Connect GLOBAL,New,International,P3,15/04/2019,09/03/2020,,,,,DJEMAIM,International,TRUE, ,,100,N/A,,23.2445,TRUE,,,,,,BAU ,BAU,BAU,P 01,19/04/2019,1,2019-2020,P 12,13/03/2020,4,2019-2020,,,0.95,0.94,0.09,0.03
ref_876556331,Business,In Progress, Etherflow/ IP Connect Ireland,New,Non-Standard,P3,15/04/2019,31/10/2019,,,39.8363,,ROWLEYN,Domestic,FALSE, ,,60,,,16.4384,FALSE,,,,,,BAU ,BAU,BAU,P 01,19/04/2019,1,2019-2020,P 07,01/11/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_876570681,Business,Parked, Internet Connect,New,International,P4,15/04/2019,06/09/2019,,Y,66,,RYANC9,International,TRUE, ,,100,,,25.126,FALSE,,,,,,Backlog,Project Parked,Parked,P 01,19/04/2019,1,2019-2020,P 06,06/09/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_876666454,Business,In Progress, IP Connect GLOBAL,New,International,P3,18/04/2019,14/10/2019,,,0,,RYANC9,International,FALSE, ,,100,,,123.7808,FALSE,,,,,,BAU ,BAU,BAU,P 01,19/04/2019,1,2019-2020,P 07,18/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_876666836,Business,In Progress, IP Connect GLOBAL,New,International,P3,18/04/2019,14/10/2019,,,,,RYANC9,International,FALSE, ,,100,,,93.6986,FALSE,,,,,,BAU ,BAU,BAU,P 01,19/04/2019,1,2019-2020,P 07,18/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_876683431,Carrier,Parked, Etherflow Internet Connect Global,New,3rd Party Standard,P4,17/04/2019,07/10/2019,,Y,30,,SMARTTEM,Domestic,FALSE, ,,50,,,16.1316,FALSE,,,,,,BAU ,BAU Parked,Parked,P 01,19/04/2019,1,2019-2020,P 07,11/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_876800671,Business,Parked, Carrier Services Private Line National,New,3rd Party Standard,P4,24/04/2019,19/07/2019,,Y,72,,HEJLOVS,Domestic,FALSE, ,,50,,,34.2467,FALSE,,,,,,Backlog,BAU Parked,Parked,P 01,26/04/2019,1,2019-2020,P 04,19/07/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_876945560,Business,Parked, One Voice Global SIP,SD Upgrade/Downgrade,International,P4,25/04/2019,30/08/2019,,Y,36,,COATESL,International,FALSE, ,,100,,,,FALSE,,,,,,Backlog,BAU Parked,Parked,P 01,26/04/2019,1,2019-2020,P 05,30/08/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
