Channel,Order_Status,Product,Order_Type,New_Delivery_Type,Created_Month,Completed_Month,Order_Manager,Project_Order,On_Time,CT_Ex_Delayed_Days,LT_Tgt,SLT_Status,On_Time_Tgt,Cycle_Time_Tgt,Parked_Tgt,Backlog_Tgt,Age_Status,Project,Country
Business,Completed, Internet Connect,New,International,01/04/2019,01/07/2019,UGWUANE,TRUE,On-Time,72,100,Pass,0.95,0.94,0.09,0.03,Completed,Astra,France
Business,Completed, Internet Connect,New,International,01/04/2019,01/07/2019,UGWUANE,TRUE,On-Time,76,100,Pass,0.95,0.94,0.09,0.03,Completed,Sky,France
Business,Completed, Internet Connect,New,International,01/04/2019,01/06/2019,COATESL,TRUE,On-Time,52,100,Pass,0.95,0.94,0.09,0.03,Completed,Sky,France
Business,Completed, Business Voice,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,GIFFNEK,FALSE,On-Time,10,15,Fail,0.95,0.94,0.09,0.03,Completed,Sky,France
Business,Completed, Business Voice,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,GIFFNEK,FALSE,On-Time,10,15,Fail,0.95,0.94,0.09,0.03,Completed,Sky,France
Business,Completed, Business Voice,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,GIFFNEK,FALSE,On-Time,4,15,Fail,0.95,0.94,0.09,0.03,Completed,Sky,France
Carrier,Completed, MPLS,Cancellation,Cancellation International 3rd Party,01/04/2019,01/04/2019,CORCORC3,FALSE,On-Time,8,40,Fail,0.95,0.94,0.09,0.03,Completed,Sky,France
Business,Completed, Business Voice,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,GIFFNEK,FALSE,On-Time,10,15,Fail,0.95,0.94,0.09,0.03,Completed,Sky,France
Internal,Completed, Private Line National,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DJEMAIM_X,FALSE,On-Time,20,15,Fail,0.95,0.94,0.09,0.03,Completed,Astra,France
Internal,Completed, Private Line National,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,LYONSR3,FALSE,On-Time,8,15,Fail,0.95,0.94,0.09,0.03,Completed,Astra,France
Internal,Completed, Private Line National,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/06/2019,DUFFYM,FALSE,Late,59,15,Fail,0.95,0.94,0.09,0.03,Completed,Astra,France
Carrier,Completed, Carrier Services Private Line National,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,DUFFYM,FALSE,On-Time,4,15,Fail,0.95,0.94,0.09,0.03,Completed,Astra,France
Carrier,Completed, Etherway Access Only,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/06/2019,LYONSR3,FALSE,Late,44,15,Fail,0.95,0.94,0.09,0.03,Completed,Astra,France
Carrier,Completed, Etherway,Cancellation,Cancellation International 3rd Party,01/04/2019,01/04/2019,CORCORC3,FALSE,On-Time,7,40,Fail,0.95,0.94,0.09,0.03,Completed,Astra,France
Carrier,Completed, Etherway,Cancellation,Cancellation International,01/04/2019,01/04/2019,CORCORC3,FALSE,On-Time,5,40,Fail,0.95,0.94,0.09,0.03,Completed,Astra,France
Business,Completed, Etherflow/IP Connect Global,New,3rd Party Standard,01/04/2019,01/07/2019,GIFFNEK,FALSE,On-Time,79,50,Fail,0.95,0.94,0.09,0.03,Completed,Astra,France
Business,Completed, Etherflow/IP Connect Global,New,3rd Party Standard,01/04/2019,01/07/2019,GIFFNEK,TRUE,On-Time,78,50,Fail,0.95,0.94,0.09,0.03,Completed,Astra,France
Business,Completed, One Voice Global SIP,SD Upgrade/Downgrade,International,01/04/2019,01/04/2019,COATESL,FALSE,On-Time,17,100,Pass,0.95,0.94,0.09,0.03,Completed,Astra,France
Carrier,Completed, Private Line National,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,3,15,Fail,0.95,0.94,0.09,0.03,Completed,Astra,France
Business,Completed, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,4,15,Fail,0.95,0.94,0.09,0.03,Completed,Astra,France
Business,Completed, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,5,15,Fail,0.95,0.94,0.09,0.03,Completed,Astra,France
Business,Completed, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,5,15,Fail,0.95,0.94,0.09,0.03,Completed,Astra,France
Business,Completed, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,5,15,Fail,0.95,0.94,0.09,0.03,Completed,Italy,Italy
Business,Completed, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,7,15,Fail,0.95,0.94,0.09,0.03,Completed,Sky,France
Business,Completed, IP Connect GLOBAL,New,International,01/04/2019,01/09/2019,DJEMAIM,TRUE,On-Time,124,100,Fail,0.95,0.94,0.09,0.03,Completed,Sky,France
Internal,Completed, Private Line National,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/05/2019,COATESL,FALSE,On-Time,34,15,Fail,0.95,0.94,0.09,0.03,Completed,Sky,France
Business,Cancelled, Etherway,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,LYONSR3,FALSE,On-Time,0,15,Pass,0.95,0.94,0.09,0.03,Backlog,Sky,France
Business,In Progress, IP Connect GLOBAL,New,International,01/04/2019,N/A,DJEMAIM,TRUE,N/A,0,100,N/A,0.95,0.94,0.09,0.03,BAU,Sky,France
Business,In Progress, MPLS,New,International,01/04/2019,N/A,GIFFNEK,TRUE,N/A,0,100,,0.95,0.94,0.09,0.03,BAU,Sky,France
Business,In Progress, MPLS,New,International,01/04/2019,N/A,GIFFNEK,TRUE,N/A,0,100,,0.95,0.94,0.09,0.03,BAU,Sky,France
Business,Completed, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,3,15,Fail,0.95,0.94,0.09,0.03,Completed,Sky,France
Business,In Progress, Etherflow/IP Connect Global,New,Non-Standard,01/04/2019,N/A,AHMEDSS,FALSE,N/A,0,60,,0.95,0.94,0.09,0.03,Backlog,BAU,France
Business,In Progress, Internet Connect,New,International,01/04/2019,N/A,RYANC9,FALSE,N/A,0,100,,0.95,0.94,0.09,0.03,BAU,BAU,France
Business,Completed, Internet Connect,New,International,01/04/2019,01/09/2019,DJEMAIM,TRUE,Late,120,100,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, Etherway,Cancellation,Cancellation Domestic,01/04/2019,01/05/2019,DUFFYM,FALSE,On-Time,36,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed,Wan Matrix,Cancellation,Cancellation International 3rd Party,01/04/2019,01/05/2019,DUFFYM,FALSE,On-Time,36,40,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, Etherway,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,DJEMAIM_X,FALSE,On-Time,5,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, Etherway,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/07/2019,DUFFYM,FALSE,Late,81,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, Etherway,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/07/2019,DUFFYM,FALSE,Late,81,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, Business Voice,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,GIFFNEK,FALSE,On-Time,10,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, Business Voice,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,GIFFNEK,FALSE,On-Time,10,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, Business Voice,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,GIFFNEK,FALSE,On-Time,10,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, Business Voice,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,GIFFNEK,FALSE,On-Time,4,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, Business Voice,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,GIFFNEK,FALSE,On-Time,9,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, IP Connect GLOBAL,SD Upgrade/Downgrade,International,01/04/2019,01/08/2019,DJEMAIM,TRUE,Late,46,100,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, Internet Connect,New,International,01/04/2019,01/08/2019,UGWUANE,TRUE,On-Time,85,100,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, Internet Connect,New,International,01/04/2019,01/07/2019,UGWUANE,TRUE,On-Time,49,100,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Internal,Completed,Network Updates,Network,Non-Standard,01/04/2019,01/06/2019,DUFFYM,FALSE,On-Time,57,60,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,4,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,4,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,4,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,4,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Carrier,Completed, Private Line National,Cancellation,Cancellation Domestic,01/04/2019,01/06/2019,CORCORC3,FALSE,Late,54,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Carrier,Completed, Private Line (In Situ Transfer),Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,CORCORC3,FALSE,On-Time,2,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Carrier,Completed, MPLS,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,CORCORC3,FALSE,On-Time,3,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Carrier,Completed, MPLS,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,CORCORC3,FALSE,On-Time,3,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, Etherflow/IP Connect Global,SD Upgrade/Downgrade,Quick Connect,01/04/2019,01/04/2019,COATESL,FALSE,On-Time,7,15,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
