Order-ref,Channel,Order_Status,OCD,Age_Status
ref_875911443,Business,Completed,01/04/2019,
ref_875911228,Business,Completed,01/04/2019,
ref_875908001,Business,Completed,01/04/2019,
ref_875901805,Business,Cease Completed,01/04/2019,
ref_875901744,Business,Cease Completed,01/04/2019,
ref_875901722,Business,Cease Completed,01/04/2019,
ref_875901647,Carrier,Cease Completed,01/04/2019,
ref_875901531,Business,Cease Completed,01/04/2019,
ref_875901455,Internal,Cease Completed,01/04/2019,
ref_875901425,Internal,Cease Completed,01/04/2019,
ref_875901407,Internal,Cease Completed,01/04/2019,
ref_875901308,Carrier,Cease Completed,01/04/2019,
ref_875901189,Carrier,Cease Completed,01/04/2019,
ref_875895060,Carrier,Cease Completed,01/04/2019,
ref_875894913,Carrier,Cease Completed,01/04/2019,
ref_875825841,Business,Completed,01/04/2019,
ref_875825571,Business,Completed,01/04/2019,
ref_875749647,Business,Completed,01/04/2019,
ref_875749525,Carrier,Cease Completed,01/04/2019,
ref_875749506,Business,Cease Completed,01/04/2019,
ref_875749476,Business,Cease Completed,01/04/2019,
ref_875749455,Business,Cease Completed,01/04/2019,
ref_875749432,Business,Cease Completed,01/04/2019,
ref_875749408,Business,Cease Completed,01/04/2019,
ref_875958200,Business,Completed,02/04/2019,
ref_875954321,Internal,Cease Completed,02/04/2019,
ref_875954196,Business,Cancelled,02/04/2019,Backlog
ref_875950993,Business,In Progress,02/04/2019,BAU
ref_875950773,Business,In Progress,02/04/2019,BAU
ref_875950417,Business,In Progress,02/04/2019,BAU
ref_875946139,Business,Cease Completed,02/04/2019,
ref_875934261,Business,In Progress,02/04/2019,Backlog
ref_875933079,Business,In Progress,02/04/2019,BAU
ref_875932434,Business,Completed,02/04/2019,
ref_875918083,Business,Cease Completed,02/04/2019,
ref_875917896,Business,Cease Completed,02/04/2019,
ref_875917708,Business,Cease Completed,02/04/2019,
ref_875917604,Business,Cease Completed,02/04/2019,
ref_875917547,Business,Cease Completed,02/04/2019,
ref_875917472,Business,Cease Completed,02/04/2019,
ref_875917437,Business,Cease Completed,02/04/2019,
ref_875917416,Business,Cease Completed,02/04/2019,
ref_875917318,Business,Cease Completed,02/04/2019,
ref_875917297,Business,Cease Completed,02/04/2019,
ref_875906029,Business,Completed,02/04/2019,
ref_875905461,Business,Completed,02/04/2019,
ref_875905255,Business,Completed,02/04/2019,
ref_875896894,Internal,Completed,02/04/2019,
ref_875753049,Business,Cease Completed,02/04/2019,
ref_875753030,Business,Cease Completed,02/04/2019,
ref_875752959,Business,Cease Completed,02/04/2019,
ref_875752937,Business,Cease Completed,02/04/2019,
ref_876006328,Carrier,Cease Completed,03/04/2019,
ref_876006255,Carrier,Cease Completed,03/04/2019,
ref_876006184,Carrier,Cease Completed,03/04/2019,
ref_876006113,Carrier,Cease Completed,03/04/2019,
ref_876001555,Business,Completed,03/04/2019,
ref_876001359,Business,In Progress,03/04/2019,BAU
ref_876001164,Business,In Progress,03/04/2019,Backlog
ref_875931551,Carrier,Completed,03/04/2019,
ref_875920632,Business,Completed,03/04/2019,
ref_875898972,Business,Cease Completed,03/04/2019,
ref_875898953,Business,Cease Completed,03/04/2019,
ref_875898932,Business,Cease Completed,03/04/2019,
